clip_id	utterance
s02_001	Pin LoRA in requirements.txt before running the adapter smoke test.
s02_002	Check the OpenAPI route and make sure the JWT middleware still passes.
s02_003	The CI/CD job rebuilt the Dockerfile after the base image changed.
s02_004	Copy the .env sample, then check tsconfig.json for the path alias.
s02_005	Run pytest -k auth before touching the FastAPI login handler.
s02_006	Redis dropped one task, so restart the Celery worker cleanly.
s02_007	Kubernetes accepted the Helm rollout, but the readiness probe stayed red.
s02_008	Prometheus is scraping, yet Grafana still shows yesterday's latency panel.
s02_009	Qdrant returned fewer neighbors than pgvector on the same embedding query.
s02_010	Dagster skipped the backfill after Sentry reported the serializer crash.
s02_011	Modal served the batch job, but vLLM kept warming the model.
s02_012	LangGraph retried the tool call when the planner returned an empty step.
s02_013	OpenTelemetry traces showed the queue delay before inference even started.
s02_014	The evaluator marked WhisperX drift after Neon returned stale transcript rows.
s02_015	TraceNest flagged the retry, then QueueLoom moved the event downstream.
s02_016	No, I meant SchemaHawk, not the old config checker.
s02_017	CacheWeaver warmed the response, but TokenHarbor capped the prompt window.
s02_018	DriftPilot says the small model changed behavior after yesterday's merge.
s02_019	PromptForge generated the fixture while EvalSage compared the answer traces.
s02_020	Wait, change ModelCrate to RelayMint in the serving note.
s02_021	Move the JWT issuer into .env before updating the OpenAPI spec.
s02_022	The Makefile target runs pytest -k parser after Ruff formatting.
s02_023	Docker Compose rebuilt Postgres, then FastAPI lost the migration lock.
s02_024	Prometheus alerted late because Grafana used a five minute window.
s02_025	Nginx forwarded WebSocket traffic, but Kubernetes dropped idle connections.
s02_026	Keep LoRA adapters beside requirements.txt, not inside the checkpoint folder.
s02_027	Celery retried the task after Redis evicted the job payload.
s02_028	tsconfig.json changed paths, so mypy reported missing generated types.
s02_029	Weaviate returned the right document, but Qdrant scored it higher.
s02_030	Ray Serve autoscaled after vLLM queued too many prompts.
s02_031	Temporal replayed the workflow when Dagster retried the asset job.
s02_032	Sentry missed the issue, but OpenTelemetry exposed the slow span.
s02_033	MLflow tracked the run while Evidently compared behavior by speaker.
s02_034	LangGraph selected Tavily, then WhisperX aligned the spoken query.
s02_035	Wait, replace TraceNest with LogVine in the alert comment.
s02_036	VectorNook stored the note, and RAGStone reranked the top chunk.
s02_037	QueueLoom waited because StreamLatch had not sealed the partition.
s02_038	PromptForge called ToolSparrow after QueryMosaic returned no candidates.
s02_039	ModelCrate loaded slowly until TokenHarbor shortened the request.
s02_040	DriftPilot disagreed with EvalSage on the noisy speaker slice.
